Pavarde       Vardas       Galutinis-vidurkis  Galutinis-mediana  Kategorija  
Pavarde3824   Vardas3824   5.72                5.00               kietiakas   
Pavarde3825   Vardas3825   5.84                6.80               kietiakas   
Pavarde3826   Vardas3826   8.32                8.00               kietiakas   
Pavarde3827   Vardas3827   8.28                7.80               kietiakas   
Pavarde3828   Vardas3828   7.48                7.80               kietiakas   
Pavarde3829   Vardas3829   4.24                4.40               vargsiukas  
Pavarde383    Vardas383    5.04                5.60               kietiakas   
Pavarde3830   Vardas3830   3.08                2.20               vargsiukas  
Pavarde3831   Vardas3831   7.20                7.60               kietiakas   
Pavarde3832   Vardas3832   5.08                5.00               kietiakas   
Pavarde3833   Vardas3833   6.52                6.60               kietiakas   
Pavarde3834   Vardas3834   9.12                9.20               kietiakas   
Pavarde3835   Vardas3835   4.16                4.00               vargsiukas  
Pavarde3836   Vardas3836   5.12                5.20               kietiakas   
Pavarde3837   Vardas3837   6.00                6.40               kietiakas   
Pavarde3838   Vardas3838   4.40                4.00               vargsiukas  
Pavarde3839   Vardas3839   7.80                7.80               kietiakas   
Pavarde384    Vardas384    3.00                3.40               vargsiukas  
Pavarde3840   Vardas3840   3.96                4.60               vargsiukas  
Pavarde3841   Vardas3841   6.16                6.00               kietiakas   
Pavarde3842   Vardas3842   6.68                7.00               kietiakas   
Pavarde3843   Vardas3843   4.56                5.20               vargsiukas  
Pavarde3844   Vardas3844   7.40                7.40               kietiakas   
Pavarde3845   Vardas3845   4.16                4.00               vargsiukas  
Pavarde3846   Vardas3846   6.48                5.60               kietiakas   
Pavarde3847   Vardas3847   6.24                6.00               kietiakas   
Pavarde3848   Vardas3848   8.24                7.60               kietiakas   
Pavarde3849   Vardas3849   6.80                6.80               kietiakas   
Pavarde385    Vardas385    6.12                6.20               kietiakas   
Pavarde3850   Vardas3850   7.60                8.00               kietiakas   
Pavarde3851   Vardas3851   3.96                4.60               vargsiukas  
Pavarde3852   Vardas3852   8.52                8.60               kietiakas   
Pavarde3853   Vardas3853   3.56                3.40               vargsiukas  
Pavarde3854   Vardas3854   3.76                3.60               vargsiukas  
Pavarde3855   Vardas3855   6.68                7.40               kietiakas   
Pavarde3856   Vardas3856   7.56                7.80               kietiakas   
Pavarde3857   Vardas3857   7.16                7.80               kietiakas   
Pavarde3858   Vardas3858   4.48                4.80               vargsiukas  
Pavarde3859   Vardas3859   7.28                6.80               kietiakas   
Pavarde386    Vardas386    7.64                7.80               kietiakas   
Pavarde3860   Vardas3860   5.52                5.20               kietiakas   
Pavarde3861   Vardas3861   7.56                7.40               kietiakas   
Pavarde3862   Vardas3862   6.60                6.60               kietiakas   
Pavarde3863   Vardas3863   3.72                3.80               vargsiukas  
Pavarde3864   Vardas3864   3.72                3.80               vargsiukas  
Pavarde3865   Vardas3865   4.00                4.00               vargsiukas  
Pavarde3866   Vardas3866   2.96                3.20               vargsiukas  
Pavarde3867   Vardas3867   7.56                7.80               kietiakas   
Pavarde3868   Vardas3868   4.20                4.60               vargsiukas  
Pavarde3869   Vardas3869   5.36                5.60               kietiakas   
Pavarde387    Vardas387    4.60                5.00               vargsiukas  
Pavarde3870   Vardas3870   8.00                8.00               kietiakas   
Pavarde3871   Vardas3871   3.16                3.40               vargsiukas  
Pavarde3872   Vardas3872   8.12                9.00               kietiakas   
Pavarde3873   Vardas3873   8.84                9.00               kietiakas   
Pavarde3874   Vardas3874   5.44                5.60               kietiakas   
Pavarde3875   Vardas3875   6.88                6.80               kietiakas   
Pavarde3876   Vardas3876   4.60                5.00               vargsiukas  
Pavarde3877   Vardas3877   4.44                5.40               vargsiukas  
Pavarde3878   Vardas3878   6.44                6.20               kietiakas   
Pavarde3879   Vardas3879   3.40                3.40               vargsiukas  
Pavarde388    Vardas388    2.96                2.80               vargsiukas  
Pavarde3880   Vardas3880   2.64                2.00               vargsiukas  
Pavarde3881   Vardas3881   4.04                4.20               vargsiukas  
Pavarde3882   Vardas3882   6.60                6.20               kietiakas   
Pavarde3883   Vardas3883   6.80                7.20               kietiakas   
Pavarde3884   Vardas3884   4.48                4.40               vargsiukas  
Pavarde3885   Vardas3885   6.12                6.20               kietiakas   
Pavarde3886   Vardas3886   8.28                8.20               kietiakas   
Pavarde3887   Vardas3887   3.72                3.80               vargsiukas  
Pavarde3888   Vardas3888   7.28                7.20               kietiakas   
Pavarde3889   Vardas3889   5.20                5.20               kietiakas   
Pavarde389    Vardas389    7.84                8.80               kietiakas   
Pavarde3890   Vardas3890   6.88                7.20               kietiakas   
Pavarde3891   Vardas3891   4.32                4.80               vargsiukas  
Pavarde3892   Vardas3892   4.60                4.20               vargsiukas  
Pavarde3893   Vardas3893   7.04                7.20               kietiakas   
Pavarde3894   Vardas3894   5.00                5.00               kietiakas   
Pavarde3895   Vardas3895   5.20                5.60               kietiakas   
Pavarde3896   Vardas3896   8.20                8.60               kietiakas   
Pavarde3897   Vardas3897   3.28                3.60               vargsiukas  
Pavarde3898   Vardas3898   2.36                2.60               vargsiukas  
Pavarde3899   Vardas3899   3.04                3.20               vargsiukas  
Pavarde39     Vardas39     5.76                6.00               kietiakas   
Pavarde390    Vardas390    2.68                2.60               vargsiukas  
Pavarde3900   Vardas3900   3.52                3.60               vargsiukas  
Pavarde3901   Vardas3901   7.64                7.40               kietiakas   
Pavarde3902   Vardas3902   3.56                3.80               vargsiukas  
Pavarde3903   Vardas3903   6.80                6.80               kietiakas   
Pavarde3904   Vardas3904   6.56                6.40               kietiakas   
Pavarde3905   Vardas3905   1.56                1.40               vargsiukas  
Pavarde3906   Vardas3906   1.96                1.40               vargsiukas  
Pavarde3907   Vardas3907   2.76                3.00               vargsiukas  
Pavarde3908   Vardas3908   3.72                3.40               vargsiukas  
Pavarde3909   Vardas3909   6.68                6.60               kietiakas   
Pavarde391    Vardas391    4.60                4.60               vargsiukas  
Pavarde3910   Vardas3910   3.88                3.80               vargsiukas  
Pavarde3911   Vardas3911   4.88                4.80               vargsiukas  
Pavarde3912   Vardas3912   4.84                4.60               vargsiukas  
Pavarde3913   Vardas3913   8.00                8.80               kietiakas   
Pavarde3914   Vardas3914   2.64                2.00               vargsiukas  
Pavarde3915   Vardas3915   7.76                8.00               kietiakas   
Pavarde3916   Vardas3916   4.96                4.80               vargsiukas  
Pavarde3917   Vardas3917   5.64                5.40               kietiakas   
Pavarde3918   Vardas3918   4.88                4.80               vargsiukas  
Pavarde3919   Vardas3919   5.28                5.60               kietiakas   
Pavarde392    Vardas392    4.36                4.60               vargsiukas  
Pavarde3920   Vardas3920   3.64                4.20               vargsiukas  
Pavarde3921   Vardas3921   4.44                4.20               vargsiukas  
Pavarde3922   Vardas3922   7.44                7.60               kietiakas   
Pavarde3923   Vardas3923   3.04                3.20               vargsiukas  
Pavarde3924   Vardas3924   4.72                4.40               vargsiukas  
Pavarde3925   Vardas3925   8.48                8.40               kietiakas   
Pavarde3926   Vardas3926   3.88                3.80               vargsiukas  
Pavarde3927   Vardas3927   4.36                4.60               vargsiukas  
Pavarde3928   Vardas3928   5.64                6.20               kietiakas   
Pavarde3929   Vardas3929   4.88                5.60               vargsiukas  
Pavarde393    Vardas393    8.24                8.80               kietiakas   
Pavarde3930   Vardas3930   7.64                8.60               kietiakas   
Pavarde3931   Vardas3931   7.24                7.00               kietiakas   
Pavarde3932   Vardas3932   4.24                4.00               vargsiukas  
Pavarde3933   Vardas3933   6.64                7.20               kietiakas   
Pavarde3934   Vardas3934   4.88                4.80               vargsiukas  
Pavarde3935   Vardas3935   6.88                7.60               kietiakas   
Pavarde3936   Vardas3936   4.20                3.80               vargsiukas  
Pavarde3937   Vardas3937   7.52                7.20               kietiakas   
Pavarde3938   Vardas3938   4.88                5.60               vargsiukas  
Pavarde3939   Vardas3939   4.72                5.60               vargsiukas  
Pavarde394    Vardas394    7.92                8.00               kietiakas   
Pavarde3940   Vardas3940   9.28                10.00              kietiakas   
Pavarde3941   Vardas3941   8.28                8.20               kietiakas   
Pavarde3942   Vardas3942   4.52                4.60               vargsiukas  
Pavarde3943   Vardas3943   4.48                4.40               vargsiukas  
Pavarde3944   Vardas3944   8.08                7.60               kietiakas   
Pavarde3945   Vardas3945   8.44                8.60               kietiakas   
Pavarde3946   Vardas3946   5.72                6.20               kietiakas   
Pavarde3947   Vardas3947   3.72                3.80               vargsiukas  
Pavarde3948   Vardas3948   6.12                6.20               kietiakas   
Pavarde3949   Vardas3949   7.48                8.20               kietiakas   
Pavarde395    Vardas395    4.64                4.40               vargsiukas  
Pavarde3950   Vardas3950   4.80                4.80               vargsiukas  
Pavarde3951   Vardas3951   5.88                5.40               kietiakas   
Pavarde3952   Vardas3952   8.32                8.40               kietiakas   
Pavarde3953   Vardas3953   2.72                2.00               vargsiukas  
Pavarde3954   Vardas3954   4.92                4.20               vargsiukas  
Pavarde3955   Vardas3955   3.12                3.20               vargsiukas  
Pavarde3956   Vardas3956   8.64                9.20               kietiakas   
Pavarde3957   Vardas3957   7.52                8.00               kietiakas   
Pavarde3958   Vardas3958   8.12                9.40               kietiakas   
Pavarde3959   Vardas3959   4.40                4.80               vargsiukas  
Pavarde396    Vardas396    4.52                4.60               vargsiukas  
Pavarde3960   Vardas3960   4.32                4.40               vargsiukas  
Pavarde3961   Vardas3961   2.56                2.40               vargsiukas  
Pavarde3962   Vardas3962   7.76                7.60               kietiakas   
Pavarde3963   Vardas3963   3.44                3.60               vargsiukas  
Pavarde3964   Vardas3964   5.36                4.80               kietiakas   
Pavarde3965   Vardas3965   6.52                6.60               kietiakas   
Pavarde3966   Vardas3966   4.84                5.40               vargsiukas  
Pavarde3967   Vardas3967   5.72                5.00               kietiakas   
Pavarde3968   Vardas3968   4.40                3.60               vargsiukas  
Pavarde3969   Vardas3969   2.64                2.40               vargsiukas  
Pavarde397    Vardas397    6.00                6.40               kietiakas   
Pavarde3970   Vardas3970   5.88                6.20               kietiakas   
Pavarde3971   Vardas3971   6.20                7.00               kietiakas   
Pavarde3972   Vardas3972   6.56                6.40               kietiakas   
Pavarde3973   Vardas3973   8.00                7.20               kietiakas   
Pavarde3974   Vardas3974   3.28                3.20               vargsiukas  
Pavarde3975   Vardas3975   4.52                5.40               vargsiukas  
Pavarde3976   Vardas3976   6.80                6.80               kietiakas   
Pavarde3977   Vardas3977   7.60                7.60               kietiakas   
Pavarde3978   Vardas3978   4.60                5.00               vargsiukas  
Pavarde3979   Vardas3979   6.08                5.60               kietiakas   
Pavarde398    Vardas398    6.76                6.60               kietiakas   
Pavarde3980   Vardas3980   2.08                2.00               vargsiukas  
Pavarde3981   Vardas3981   7.52                7.60               kietiakas   
Pavarde3982   Vardas3982   6.12                6.60               kietiakas   
Pavarde3983   Vardas3983   3.92                3.60               vargsiukas  
Pavarde3984   Vardas3984   3.56                3.40               vargsiukas  
Pavarde3985   Vardas3985   8.32                8.00               kietiakas   
Pavarde3986   Vardas3986   6.28                6.20               kietiakas   
Pavarde3987   Vardas3987   3.48                3.40               vargsiukas  
Pavarde3988   Vardas3988   4.40                4.00               vargsiukas  
Pavarde3989   Vardas3989   4.12                3.80               vargsiukas  
Pavarde399    Vardas399    7.48                7.00               kietiakas   
Pavarde3990   Vardas3990   3.84                4.00               vargsiukas  
Pavarde3991   Vardas3991   6.72                6.80               kietiakas   
Pavarde3992   Vardas3992   3.36                3.60               vargsiukas  
Pavarde3993   Vardas3993   2.92                2.60               vargsiukas  
Pavarde3994   Vardas3994   5.28                5.20               kietiakas   
Pavarde3995   Vardas3995   4.00                4.40               vargsiukas  
Pavarde3996   Vardas3996   7.36                7.60               kietiakas   
Pavarde3997   Vardas3997   6.96                7.60               kietiakas   
Pavarde3998   Vardas3998   6.72                6.40               kietiakas   
Pavarde3999   Vardas3999   2.68                2.60               vargsiukas  
Pavarde4      Vardas4      8.96                9.20               kietiakas   
Pavarde40     Vardas40     8.16                7.60               kietiakas   
Pavarde400    Vardas400    2.84                2.60               vargsiukas  
Pavarde4000   Vardas4000   2.84                2.20               vargsiukas  
Pavarde4001   Vardas4001   3.72                3.80               vargsiukas  
Pavarde4002   Vardas4002   3.60                3.60               vargsiukas  
Pavarde4003   Vardas4003   6.64                6.80               kietiakas   
Pavarde4004   Vardas4004   6.12                5.40               kietiakas   
Pavarde4005   Vardas4005   6.04                6.60               kietiakas   
Pavarde4006   Vardas4006   4.12                4.60               vargsiukas  
Pavarde4007   Vardas4007   4.40                4.00               vargsiukas  
Pavarde4008   Vardas4008   5.08                5.00               kietiakas   
Pavarde4009   Vardas4009   5.40                5.40               kietiakas   
Pavarde401    Vardas401    7.76                8.00               kietiakas   
Pavarde4010   Vardas4010   5.32                5.40               kietiakas   
Pavarde4011   Vardas4011   5.56                5.00               kietiakas   
Pavarde4012   Vardas4012   6.60                6.60               kietiakas   
Pavarde4013   Vardas4013   5.72                5.40               kietiakas   
Pavarde4014   Vardas4014   3.28                2.80               vargsiukas  
Pavarde4015   Vardas4015   1.80                1.00               vargsiukas  
Pavarde4016   Vardas4016   5.20                5.60               kietiakas   
Pavarde4017   Vardas4017   5.84                5.60               kietiakas   
Pavarde4018   Vardas4018   4.84                5.00               vargsiukas  
Pavarde4019   Vardas4019   2.12                2.20               vargsiukas  
Pavarde402    Vardas402    6.20                5.80               kietiakas   
Pavarde4020   Vardas4020   5.92                5.60               kietiakas   
Pavarde4021   Vardas4021   8.28                9.00               kietiakas   
Pavarde4022   Vardas4022   5.80                5.40               kietiakas   
Pavarde4023   Vardas4023   8.40                8.40               kietiakas   
Pavarde4024   Vardas4024   8.64                8.80               kietiakas   
Pavarde4025   Vardas4025   3.96                4.20               vargsiukas  
Pavarde4026   Vardas4026   2.76                2.20               vargsiukas  
Pavarde4027   Vardas4027   5.20                5.20               kietiakas   
Pavarde4028   Vardas4028   5.28                4.40               kietiakas   
Pavarde4029   Vardas4029   3.36                4.00               vargsiukas  
Pavarde403    Vardas403    5.60                5.60               kietiakas   
Pavarde4030   Vardas4030   3.80                3.80               vargsiukas  
Pavarde4031   Vardas4031   5.32                5.00               kietiakas   
Pavarde4032   Vardas4032   5.04                4.80               kietiakas   
Pavarde4033   Vardas4033   8.48                8.80               kietiakas   
Pavarde4034   Vardas4034   5.32                5.40               kietiakas   
Pavarde4035   Vardas4035   6.32                6.00               kietiakas   
Pavarde4036   Vardas4036   6.64                6.00               kietiakas   
Pavarde4037   Vardas4037   9.12                9.20               kietiakas   
Pavarde4038   Vardas4038   7.52                8.00               kietiakas   
Pavarde4039   Vardas4039   6.56                6.40               kietiakas   
Pavarde404    Vardas404    5.52                5.60               kietiakas   
Pavarde4040   Vardas4040   6.84                7.00               kietiakas   
Pavarde4041   Vardas4041   3.64                4.20               vargsiukas  
Pavarde4042   Vardas4042   6.72                6.40               kietiakas   
Pavarde4043   Vardas4043   2.56                2.40               vargsiukas  
Pavarde4044   Vardas4044   6.92                7.40               kietiakas   
Pavarde4045   Vardas4045   3.72                3.00               vargsiukas  
Pavarde4046   Vardas4046   6.40                6.00               kietiakas   
Pavarde4047   Vardas4047   8.40                8.40               kietiakas   
Pavarde4048   Vardas4048   8.80                9.20               kietiakas   
Pavarde4049   Vardas4049   3.20                2.80               vargsiukas  
Pavarde405    Vardas405    6.56                6.80               kietiakas   
Pavarde4050   Vardas4050   7.28                7.20               kietiakas   
Pavarde4051   Vardas4051   7.76                8.40               kietiakas   
Pavarde4052   Vardas4052   3.96                3.80               vargsiukas  
Pavarde4053   Vardas4053   6.16                6.00               kietiakas   
Pavarde4054   Vardas4054   3.80                3.40               vargsiukas  
Pavarde4055   Vardas4055   6.84                7.00               kietiakas   
Pavarde4056   Vardas4056   4.68                5.00               vargsiukas  
Pavarde4057   Vardas4057   7.44                6.80               kietiakas   
Pavarde4058   Vardas4058   3.28                3.60               vargsiukas  
Pavarde4059   Vardas4059   7.56                7.40               kietiakas   
Pavarde406    Vardas406    5.00                5.00               kietiakas   
Pavarde4060   Vardas4060   6.56                6.80               kietiakas   
Pavarde4061   Vardas4061   4.00                4.00               vargsiukas  
Pavarde4062   Vardas4062   1.96                1.80               vargsiukas  
Pavarde4063   Vardas4063   8.00                7.60               kietiakas   
Pavarde4064   Vardas4064   6.04                6.20               kietiakas   
Pavarde4065   Vardas4065   7.88                7.80               kietiakas   
Pavarde4066   Vardas4066   4.20                3.80               vargsiukas  
Pavarde4067   Vardas4067   4.80                4.80               vargsiukas  
Pavarde4068   Vardas4068   5.92                6.40               kietiakas   
Pavarde4069   Vardas4069   4.92                5.80               vargsiukas  
Pavarde407    Vardas407    6.52                5.80               kietiakas   
Pavarde4070   Vardas4070   3.44                4.40               vargsiukas  
Pavarde4071   Vardas4071   7.72                8.60               kietiakas   
Pavarde4072   Vardas4072   2.96                2.40               vargsiukas  
Pavarde4073   Vardas4073   6.48                6.00               kietiakas   
Pavarde4074   Vardas4074   7.32                7.40               kietiakas   
Pavarde4075   Vardas4075   2.72                2.40               vargsiukas  
Pavarde4076   Vardas4076   5.20                4.80               kietiakas   
Pavarde4077   Vardas4077   3.32                4.20               vargsiukas  
Pavarde4078   Vardas4078   4.32                4.40               vargsiukas  
Pavarde4079   Vardas4079   6.52                6.20               kietiakas   
Pavarde408    Vardas408    2.92                3.40               vargsiukas  
Pavarde4080   Vardas4080   7.84                8.00               kietiakas   
Pavarde4081   Vardas4081   4.88                4.80               vargsiukas  
Pavarde4082   Vardas4082   5.84                6.00               kietiakas   
Pavarde4083   Vardas4083   3.40                3.40               vargsiukas  
Pavarde4084   Vardas4084   2.28                2.20               vargsiukas  
Pavarde4085   Vardas4085   6.84                6.60               kietiakas   
Pavarde4086   Vardas4086   4.92                4.60               vargsiukas  
Pavarde4087   Vardas4087   6.24                7.20               kietiakas   
Pavarde4088   Vardas4088   4.88                4.80               vargsiukas  
Pavarde4089   Vardas4089   7.88                7.80               kietiakas   
Pavarde409    Vardas409    4.16                4.80               vargsiukas  
Pavarde4090   Vardas4090   3.64                3.80               vargsiukas  
Pavarde4091   Vardas4091   2.84                3.00               vargsiukas  
Pavarde4092   Vardas4092   3.80                3.00               vargsiukas  
Pavarde4093   Vardas4093   3.00                2.20               vargsiukas  
Pavarde4094   Vardas4094   8.28                9.00               kietiakas   
Pavarde4095   Vardas4095   4.12                4.60               vargsiukas  
Pavarde4096   Vardas4096   9.12                9.20               kietiakas   
Pavarde4097   Vardas4097   4.88                4.80               vargsiukas  
Pavarde4098   Vardas4098   3.44                4.00               vargsiukas  
Pavarde4099   Vardas4099   5.68                4.80               kietiakas   
Pavarde41     Vardas41     6.20                5.80               kietiakas   
Pavarde410    Vardas410    6.32                6.40               kietiakas   
Pavarde4100   Vardas4100   5.92                5.60               kietiakas   
Pavarde4101   Vardas4101   7.96                7.80               kietiakas   
Pavarde4102   Vardas4102   5.92                6.40               kietiakas   
Pavarde4103   Vardas4103   3.08                3.40               vargsiukas  
Pavarde4104   Vardas4104   2.76                2.20               vargsiukas  
Pavarde4105   Vardas4105   8.32                8.40               kietiakas   
Pavarde4106   Vardas4106   6.16                6.00               kietiakas   
Pavarde4107   Vardas4107   6.68                7.00               kietiakas   
Pavarde4108   Vardas4108   6.88                7.20               kietiakas   
Pavarde4109   Vardas4109   7.20                7.20               kietiakas   
Pavarde411    Vardas411    3.48                3.80               vargsiukas  
Pavarde4110   Vardas4110   3.08                3.80               vargsiukas  
Pavarde4111   Vardas4111   4.88                5.20               vargsiukas  
Pavarde4112   Vardas4112   5.56                5.80               kietiakas   
Pavarde4113   Vardas4113   6.16                6.00               kietiakas   
Pavarde4114   Vardas4114   4.92                5.00               vargsiukas  
Pavarde4115   Vardas4115   5.56                5.80               kietiakas   
Pavarde4116   Vardas4116   5.84                5.60               kietiakas   
Pavarde4117   Vardas4117   7.92                8.00               kietiakas   
Pavarde4118   Vardas4118   2.92                2.60               vargsiukas  
Pavarde4119   Vardas4119   2.88                2.40               vargsiukas  
Pavarde412    Vardas412    7.56                7.80               kietiakas   
Pavarde4120   Vardas4120   3.48                3.00               vargsiukas  
Pavarde4121   Vardas4121   6.96                7.20               kietiakas   
Pavarde4122   Vardas4122   2.28                2.20               vargsiukas  
Pavarde4123   Vardas4123   2.28                2.20               vargsiukas  
Pavarde4124   Vardas4124   5.48                5.40               kietiakas   
Pavarde4125   Vardas4125   6.96                7.20               kietiakas   
Pavarde4126   Vardas4126   3.04                2.40               vargsiukas  
Pavarde4127   Vardas4127   5.84                6.00               kietiakas   
Pavarde4128   Vardas4128   2.60                2.20               vargsiukas  
Pavarde4129   Vardas4129   6.04                6.20               kietiakas   
Pavarde413    Vardas413    2.80                2.80               vargsiukas  
Pavarde4130   Vardas4130   4.52                4.60               vargsiukas  
Pavarde4131   Vardas4131   5.48                5.80               kietiakas   
Pavarde4132   Vardas4132   8.28                9.00               kietiakas   
Pavarde4133   Vardas4133   4.80                5.20               vargsiukas  
Pavarde4134   Vardas4134   7.84                8.00               kietiakas   
Pavarde4135   Vardas4135   5.52                5.60               kietiakas   
Pavarde4136   Vardas4136   8.00                7.20               kietiakas   
Pavarde4137   Vardas4137   7.04                6.80               kietiakas   
Pavarde4138   Vardas4138   5.80                5.80               kietiakas   
Pavarde4139   Vardas4139   4.04                4.20               vargsiukas  
Pavarde414    Vardas414    2.12                2.20               vargsiukas  
Pavarde4140   Vardas4140   5.12                5.20               kietiakas   
Pavarde4141   Vardas4141   4.00                4.00               vargsiukas  
Pavarde4142   Vardas4142   3.44                3.20               vargsiukas  
Pavarde4143   Vardas4143   5.88                6.20               kietiakas   
Pavarde4144   Vardas4144   4.80                5.20               vargsiukas  
Pavarde4145   Vardas4145   4.24                4.40               vargsiukas  
Pavarde4146   Vardas4146   4.72                4.40               vargsiukas  
Pavarde4147   Vardas4147   4.12                4.60               vargsiukas  
Pavarde4148   Vardas4148   4.40                4.00               vargsiukas  
Pavarde4149   Vardas4149   8.28                8.20               kietiakas   
Pavarde415    Vardas415    3.16                3.00               vargsiukas  
Pavarde4150   Vardas4150   3.76                3.60               vargsiukas  
Pavarde4151   Vardas4151   7.52                7.60               kietiakas   
Pavarde4152   Vardas4152   3.24                3.00               vargsiukas  
Pavarde4153   Vardas4153   6.36                7.00               kietiakas   
Pavarde4154   Vardas4154   5.16                5.40               kietiakas   
Pavarde4155   Vardas4155   7.40                6.60               kietiakas   
Pavarde4156   Vardas4156   5.04                4.80               kietiakas   
Pavarde4157   Vardas4157   6.60                6.20               kietiakas   
Pavarde4158   Vardas4158   7.20                7.20               kietiakas   
Pavarde4159   Vardas4159   3.60                3.20               vargsiukas  
Pavarde416    Vardas416    4.80                4.40               vargsiukas  
Pavarde4160   Vardas4160   6.76                7.00               kietiakas   
Pavarde4161   Vardas4161   8.80                9.20               kietiakas   
Pavarde4162   Vardas4162   7.28                7.60               kietiakas   
Pavarde4163   Vardas4163   6.16                6.40               kietiakas   
Pavarde4164   Vardas4164   6.80                6.80               kietiakas   
Pavarde4165   Vardas4165   5.04                5.60               kietiakas   
Pavarde4166   Vardas4166   4.68                4.60               vargsiukas  
Pavarde4167   Vardas4167   6.28                7.00               kietiakas   
Pavarde4168   Vardas4168   5.28                5.20               kietiakas   
Pavarde4169   Vardas4169   8.32                7.60               kietiakas   
Pavarde417    Vardas417    5.52                5.20               kietiakas   
Pavarde4170   Vardas4170   5.04                4.40               kietiakas   
Pavarde4171   Vardas4171   6.56                6.40               kietiakas   
Pavarde4172   Vardas4172   7.68                8.40               kietiakas   
Pavarde4173   Vardas4173   5.40                5.40               kietiakas   
Pavarde4174   Vardas4174   7.16                7.00               kietiakas   
Pavarde4175   Vardas4175   2.52                2.20               vargsiukas  
Pavarde4176   Vardas4176   3.76                4.40               vargsiukas  
Pavarde4177   Vardas4177   4.04                4.20               vargsiukas  
Pavarde4178   Vardas4178   5.48                5.40               kietiakas   
Pavarde4179   Vardas4179   3.44                3.60               vargsiukas  
Pavarde418    Vardas418    3.16                3.80               vargsiukas  
Pavarde4180   Vardas4180   5.56                6.20               kietiakas   
Pavarde4181   Vardas4181   6.68                6.20               kietiakas   
Pavarde4182   Vardas4182   3.44                3.20               vargsiukas  
Pavarde4183   Vardas4183   5.92                6.00               kietiakas   
Pavarde4184   Vardas4184   5.20                4.80               kietiakas   
Pavarde4185   Vardas4185   6.84                7.00               kietiakas   
Pavarde4186   Vardas4186   6.60                7.40               kietiakas   
Pavarde4187   Vardas4187   4.20                4.20               vargsiukas  
Pavarde4188   Vardas4188   5.36                6.00               kietiakas   
Pavarde4189   Vardas4189   8.16                8.00               kietiakas   
Pavarde419    Vardas419    6.60                6.20               kietiakas   
Pavarde4190   Vardas4190   5.28                5.20               kietiakas   
Pavarde4191   Vardas4191   7.44                7.20               kietiakas   
Pavarde4192   Vardas4192   2.64                2.40               vargsiukas  
Pavarde4193   Vardas4193   7.40                7.00               kietiakas   
Pavarde4194   Vardas4194   3.24                3.40               vargsiukas  
Pavarde4195   Vardas4195   5.76                5.60               kietiakas   
Pavarde4196   Vardas4196   6.12                5.80               kietiakas   
Pavarde4197   Vardas4197   3.36                2.80               vargsiukas  
Pavarde4198   Vardas4198   3.48                3.80               vargsiukas  
Pavarde4199   Vardas4199   4.40                4.00               vargsiukas  
Pavarde42     Vardas42     3.36                3.60               vargsiukas  
Pavarde420    Vardas420    5.08                4.60               kietiakas   
Pavarde4200   Vardas4200   5.56                5.40               kietiakas   
Pavarde4201   Vardas4201   6.28                6.60               kietiakas   
Pavarde4202   Vardas4202   5.32                6.20               kietiakas   
Pavarde4203   Vardas4203   3.36                2.80               vargsiukas  
Pavarde4204   Vardas4204   6.88                6.80               kietiakas   
Pavarde4205   Vardas4205   5.80                5.80               kietiakas   
Pavarde4206   Vardas4206   6.44                6.60               kietiakas   
Pavarde4207   Vardas4207   1.96                1.80               vargsiukas  
Pavarde4208   Vardas4208   6.08                6.80               kietiakas   
Pavarde4209   Vardas4209   6.36                6.20               kietiakas   
Pavarde421    Vardas421    5.56                5.80               kietiakas   
Pavarde4210   Vardas4210   5.32                5.00               kietiakas   
Pavarde4211   Vardas4211   6.28                6.20               kietiakas   
Pavarde4212   Vardas4212   5.20                5.20               kietiakas   
Pavarde4213   Vardas4213   5.60                5.20               kietiakas   
Pavarde4214   Vardas4214   8.12                7.80               kietiakas   
Pavarde4215   Vardas4215   4.64                4.00               vargsiukas  
Pavarde4216   Vardas4216   6.08                6.40               kietiakas   
Pavarde4217   Vardas4217   6.40                6.00               kietiakas   
Pavarde4218   Vardas4218   7.60                8.00               kietiakas   
Pavarde4219   Vardas4219   2.96                2.40               vargsiukas  
Pavarde422    Vardas422    6.96                6.80               kietiakas   
Pavarde4220   Vardas4220   6.04                5.00               kietiakas   
Pavarde4221   Vardas4221   5.36                5.20               kietiakas   
Pavarde4222   Vardas4222   7.84                8.40               kietiakas   
Pavarde4223   Vardas4223   5.88                6.20               kietiakas   
Pavarde4224   Vardas4224   7.40                7.00               kietiakas   
Pavarde4225   Vardas4225   8.48                8.40               kietiakas   
Pavarde4226   Vardas4226   7.88                7.80               kietiakas   
Pavarde4227   Vardas4227   7.04                6.80               kietiakas   
Pavarde4228   Vardas4228   6.68                7.40               kietiakas   
Pavarde4229   Vardas4229   5.08                5.00               kietiakas   
Pavarde423    Vardas423    5.60                5.60               kietiakas   
Pavarde4230   Vardas4230   4.92                5.00               vargsiukas  
Pavarde4231   Vardas4231   7.32                7.40               kietiakas   
Pavarde4232   Vardas4232   4.32                4.00               vargsiukas  
Pavarde4233   Vardas4233   7.72                7.80               kietiakas   
Pavarde4234   Vardas4234   3.44                4.40               vargsiukas  
Pavarde4235   Vardas4235   7.16                6.20               kietiakas   
Pavarde4236   Vardas4236   5.56                5.40               kietiakas   
Pavarde4237   Vardas4237   3.72                3.80               vargsiukas  
Pavarde4238   Vardas4238   8.72                8.80               kietiakas   
Pavarde4239   Vardas4239   6.76                7.40               kietiakas   
