Pavarde      Vardas      Galutinis-vidurkis  Galutinis-mediana  
Pavarde191   Vardas191   3.48                3.40               
Pavarde192   Vardas192   2.76                2.60               
Pavarde193   Vardas193   4.56                4.40               
Pavarde194   Vardas194   4.64                4.00               
Pavarde196   Vardas196   4.08                3.20               
Pavarde198   Vardas198   2.68                3.00               
Pavarde199   Vardas199   3.88                3.80               
Pavarde2     Vardas2     3.36                3.20               
Pavarde200   Vardas200   3.92                4.80               
Pavarde203   Vardas203   4.56                4.40               
Pavarde208   Vardas208   4.00                3.60               
Pavarde209   Vardas209   4.72                4.80               
Pavarde211   Vardas211   3.84                4.00               
Pavarde214   Vardas214   4.40                4.00               
Pavarde219   Vardas219   4.72                5.20               
Pavarde221   Vardas221   3.52                3.60               
Pavarde223   Vardas223   3.48                3.40               
Pavarde227   Vardas227   3.92                3.60               
Pavarde228   Vardas228   3.60                3.60               
Pavarde234   Vardas234   4.00                3.60               
Pavarde235   Vardas235   4.08                3.60               
Pavarde236   Vardas236   3.96                3.80               
Pavarde239   Vardas239   4.40                4.00               
Pavarde24    Vardas24    4.36                4.20               
Pavarde242   Vardas242   3.88                4.20               
Pavarde244   Vardas244   3.92                3.20               
Pavarde245   Vardas245   3.52                2.80               
Pavarde247   Vardas247   2.60                2.20               
Pavarde250   Vardas250   2.48                2.40               
Pavarde251   Vardas251   3.88                4.20               
Pavarde257   Vardas257   2.88                2.80               
Pavarde258   Vardas258   4.84                5.00               
Pavarde259   Vardas259   4.52                3.80               
Pavarde260   Vardas260   3.96                3.80               
Pavarde261   Vardas261   2.96                2.80               
Pavarde262   Vardas262   2.92                3.00               
Pavarde264   Vardas264   4.12                4.20               
Pavarde265   Vardas265   2.96                3.20               
Pavarde267   Vardas267   4.80                4.40               
Pavarde269   Vardas269   4.04                4.20               
Pavarde273   Vardas273   2.92                3.00               
Pavarde277   Vardas277   3.56                3.40               
Pavarde282   Vardas282   2.84                2.20               
Pavarde283   Vardas283   3.92                3.60               
Pavarde284   Vardas284   4.72                4.40               
Pavarde285   Vardas285   4.20                3.80               
Pavarde288   Vardas288   3.20                2.80               
Pavarde29    Vardas29    4.04                3.40               
Pavarde295   Vardas295   4.48                4.40               
Pavarde296   Vardas296   3.68                4.40               
Pavarde298   Vardas298   3.16                2.20               
Pavarde30    Vardas30    3.92                4.00               
Pavarde301   Vardas301   3.88                3.40               
Pavarde302   Vardas302   3.80                3.80               
Pavarde303   Vardas303   3.56                3.80               
Pavarde304   Vardas304   3.00                2.60               
Pavarde305   Vardas305   3.96                3.80               
Pavarde307   Vardas307   4.84                4.60               
Pavarde309   Vardas309   4.96                4.80               
Pavarde31    Vardas31    4.88                4.40               
Pavarde310   Vardas310   3.20                3.20               
Pavarde312   Vardas312   3.52                3.20               
Pavarde315   Vardas315   4.32                4.80               
Pavarde316   Vardas316   3.48                3.00               
Pavarde319   Vardas319   3.00                3.00               
Pavarde320   Vardas320   2.88                3.20               
Pavarde321   Vardas321   3.40                3.00               
Pavarde323   Vardas323   4.68                4.60               
Pavarde326   Vardas326   4.92                5.00               
Pavarde329   Vardas329   3.52                3.60               
Pavarde330   Vardas330   3.00                3.40               
Pavarde335   Vardas335   4.68                4.60               
Pavarde338   Vardas338   2.96                2.40               
Pavarde339   Vardas339   3.08                3.40               
Pavarde34    Vardas34    4.04                4.60               
Pavarde340   Vardas340   3.32                3.40               
Pavarde341   Vardas341   3.24                3.00               
Pavarde342   Vardas342   3.08                2.60               
Pavarde345   Vardas345   1.40                1.00               
Pavarde347   Vardas347   2.92                3.00               
Pavarde348   Vardas348   3.60                3.20               
Pavarde35    Vardas35    4.12                4.20               
Pavarde353   Vardas353   3.08                3.40               
Pavarde354   Vardas354   3.52                3.60               
Pavarde357   Vardas357   3.92                4.80               
Pavarde36    Vardas36    3.60                3.60               
Pavarde362   Vardas362   4.80                4.80               
Pavarde366   Vardas366   4.12                3.80               
Pavarde367   Vardas367   1.32                1.40               
Pavarde368   Vardas368   3.08                3.00               
Pavarde37    Vardas37    2.80                2.40               
Pavarde371   Vardas371   4.76                5.00               
Pavarde375   Vardas375   3.08                3.40               
Pavarde377   Vardas377   3.80                4.20               
Pavarde379   Vardas379   3.00                3.00               
Pavarde38    Vardas38    4.68                4.60               
Pavarde382   Vardas382   2.84                2.60               
Pavarde383   Vardas383   4.52                3.80               
Pavarde384   Vardas384   3.92                4.40               
Pavarde385   Vardas385   3.68                4.00               
Pavarde389   Vardas389   4.76                5.00               
Pavarde390   Vardas390   3.32                3.80               
Pavarde394   Vardas394   4.32                4.00               
Pavarde395   Vardas395   2.52                2.20               
Pavarde396   Vardas396   4.96                5.60               
Pavarde399   Vardas399   2.12                1.80               
Pavarde40    Vardas40    3.48                3.40               
Pavarde404   Vardas404   2.80                2.40               
Pavarde405   Vardas405   2.08                2.00               
Pavarde407   Vardas407   4.52                3.80               
Pavarde411   Vardas411   4.76                4.60               
Pavarde417   Vardas417   1.48                1.40               
Pavarde418   Vardas418   3.88                3.80               
Pavarde420   Vardas420   4.88                5.20               
Pavarde424   Vardas424   3.60                3.20               
Pavarde425   Vardas425   2.68                2.60               
Pavarde429   Vardas429   4.60                5.00               
Pavarde432   Vardas432   3.68                3.60               
Pavarde433   Vardas433   4.40                4.40               
Pavarde435   Vardas435   4.96                5.20               
Pavarde441   Vardas441   3.60                3.20               
Pavarde442   Vardas442   4.56                4.40               
Pavarde447   Vardas447   1.88                1.80               
Pavarde448   Vardas448   3.92                4.00               
Pavarde455   Vardas455   4.04                3.80               
Pavarde457   Vardas457   2.04                1.80               
Pavarde459   Vardas459   4.28                4.20               
Pavarde46    Vardas46    3.20                3.20               
Pavarde460   Vardas460   2.52                2.60               
Pavarde461   Vardas461   4.04                4.20               
Pavarde462   Vardas462   3.40                4.20               
Pavarde463   Vardas463   4.96                4.40               
Pavarde464   Vardas464   3.88                4.20               
Pavarde465   Vardas465   4.04                3.80               
Pavarde467   Vardas467   3.72                3.80               
Pavarde468   Vardas468   2.44                2.20               
Pavarde474   Vardas474   3.08                3.00               
Pavarde476   Vardas476   4.80                4.80               
Pavarde48    Vardas48    3.84                3.60               
Pavarde481   Vardas481   4.84                5.00               
Pavarde482   Vardas482   4.80                4.80               
Pavarde486   Vardas486   4.52                5.00               
Pavarde487   Vardas487   2.44                2.20               
Pavarde491   Vardas491   4.40                4.80               
Pavarde494   Vardas494   4.16                4.40               
Pavarde496   Vardas496   3.48                3.40               
Pavarde497   Vardas497   4.20                5.00               
Pavarde5     Vardas5     1.80                1.00               
Pavarde503   Vardas503   3.32                3.00               
Pavarde506   Vardas506   3.16                3.40               
Pavarde509   Vardas509   3.72                3.80               
Pavarde510   Vardas510   3.60                3.60               
Pavarde512   Vardas512   2.84                3.00               
Pavarde513   Vardas513   4.40                4.00               
Pavarde516   Vardas516   4.08                4.40               
Pavarde52    Vardas52    4.16                4.00               
Pavarde520   Vardas520   3.04                2.40               
Pavarde524   Vardas524   2.28                2.20               
Pavarde526   Vardas526   3.08                3.40               
Pavarde53    Vardas53    3.24                3.40               
Pavarde531   Vardas531   2.60                1.80               
Pavarde532   Vardas532   3.48                3.80               
Pavarde534   Vardas534   3.16                3.80               
Pavarde54    Vardas54    4.80                4.80               
Pavarde544   Vardas544   2.92                3.00               
Pavarde549   Vardas549   2.96                2.80               
Pavarde550   Vardas550   2.68                2.60               
Pavarde551   Vardas551   4.12                4.20               
Pavarde552   Vardas552   3.36                4.00               
Pavarde555   Vardas555   3.76                3.60               
Pavarde557   Vardas557   2.44                2.20               
Pavarde559   Vardas559   3.88                4.20               
Pavarde560   Vardas560   3.04                3.60               
Pavarde563   Vardas563   4.88                5.20               
Pavarde564   Vardas564   4.00                3.20               
Pavarde57    Vardas57    3.04                2.80               
Pavarde574   Vardas574   3.48                3.40               
Pavarde583   Vardas583   4.92                5.00               
Pavarde585   Vardas585   2.52                2.20               
Pavarde586   Vardas586   4.76                4.60               
Pavarde587   Vardas587   2.60                2.60               
Pavarde588   Vardas588   4.80                4.40               
Pavarde589   Vardas589   4.80                4.40               
Pavarde59    Vardas59    2.72                2.40               
Pavarde592   Vardas592   2.56                2.40               
Pavarde600   Vardas600   2.56                2.80               
Pavarde603   Vardas603   2.04                1.80               
Pavarde61    Vardas61    4.28                3.80               
Pavarde611   Vardas611   4.72                5.20               
Pavarde612   Vardas612   3.40                3.00               
Pavarde615   Vardas615   4.96                4.80               
Pavarde617   Vardas617   2.60                2.20               
Pavarde619   Vardas619   4.44                4.60               
Pavarde620   Vardas620   4.88                5.20               
Pavarde623   Vardas623   3.48                3.40               
Pavarde628   Vardas628   3.96                3.80               
Pavarde63    Vardas63    2.84                2.60               
Pavarde632   Vardas632   2.76                3.00               
Pavarde64    Vardas64    3.68                3.60               
Pavarde641   Vardas641   3.16                3.00               
Pavarde642   Vardas642   4.32                4.80               
Pavarde643   Vardas643   3.60                3.60               
Pavarde646   Vardas646   3.44                3.20               
Pavarde647   Vardas647   4.68                4.60               
Pavarde648   Vardas648   3.52                3.60               
Pavarde649   Vardas649   4.88                4.80               
Pavarde650   Vardas650   3.72                4.20               
Pavarde651   Vardas651   2.96                2.40               
Pavarde654   Vardas654   3.72                3.80               
Pavarde655   Vardas655   4.80                4.40               
Pavarde659   Vardas659   3.52                3.20               
Pavarde661   Vardas661   2.04                1.40               
Pavarde662   Vardas662   3.48                3.80               
Pavarde663   Vardas663   3.72                3.80               
Pavarde666   Vardas666   3.44                4.00               
Pavarde668   Vardas668   4.24                3.20               
Pavarde669   Vardas669   4.92                4.20               
Pavarde67    Vardas67    3.12                2.40               
Pavarde670   Vardas670   3.28                2.80               
Pavarde676   Vardas676   2.52                3.00               
Pavarde680   Vardas680   4.72                4.40               
Pavarde683   Vardas683   3.56                3.80               
Pavarde685   Vardas685   2.88                3.20               
Pavarde688   Vardas688   2.68                3.00               
Pavarde69    Vardas69    3.36                3.60               
Pavarde690   Vardas690   2.68                3.40               
Pavarde692   Vardas692   3.28                4.00               
Pavarde697   Vardas697   3.28                4.00               
Pavarde698   Vardas698   3.24                3.40               
Pavarde699   Vardas699   3.92                3.60               
Pavarde7     Vardas7     4.40                4.40               
Pavarde70    Vardas70    3.36                3.60               
Pavarde700   Vardas700   4.60                4.20               
Pavarde701   Vardas701   2.36                1.80               
Pavarde703   Vardas703   4.80                4.80               
Pavarde705   Vardas705   4.52                5.00               
Pavarde71    Vardas71    2.28                2.20               
Pavarde710   Vardas710   4.92                4.60               
Pavarde714   Vardas714   3.08                3.40               
Pavarde715   Vardas715   4.88                5.20               
Pavarde72    Vardas72    4.28                3.80               
Pavarde722   Vardas722   3.12                2.00               
Pavarde73    Vardas73    2.68                2.60               
Pavarde731   Vardas731   2.84                3.00               
Pavarde735   Vardas735   2.28                2.20               
Pavarde736   Vardas736   4.36                5.40               
Pavarde737   Vardas737   4.96                5.20               
Pavarde739   Vardas739   3.84                4.00               
Pavarde74    Vardas74    4.40                4.40               
Pavarde742   Vardas742   4.40                4.40               
Pavarde743   Vardas743   4.04                3.40               
Pavarde744   Vardas744   2.60                2.20               
Pavarde748   Vardas748   3.36                3.20               
Pavarde749   Vardas749   2.52                2.20               
Pavarde75    Vardas75    3.60                3.60               
Pavarde750   Vardas750   4.04                4.20               
Pavarde753   Vardas753   3.00                3.00               
Pavarde760   Vardas760   4.56                4.40               
Pavarde765   Vardas765   4.56                4.40               
Pavarde77    Vardas77    2.84                3.40               
Pavarde772   Vardas772   3.00                3.40               
Pavarde773   Vardas773   3.92                4.80               
Pavarde774   Vardas774   4.52                4.20               
Pavarde776   Vardas776   3.56                3.80               
Pavarde777   Vardas777   3.60                3.60               
Pavarde779   Vardas779   4.00                4.40               
Pavarde782   Vardas782   2.96                2.40               
Pavarde786   Vardas786   4.40                4.40               
Pavarde789   Vardas789   3.56                3.80               
Pavarde791   Vardas791   4.84                4.60               
Pavarde792   Vardas792   3.00                2.60               
Pavarde796   Vardas796   4.24                4.40               
Pavarde797   Vardas797   4.52                5.00               
Pavarde798   Vardas798   3.72                3.80               
Pavarde799   Vardas799   3.40                3.40               
Pavarde8     Vardas8     4.08                4.40               
Pavarde802   Vardas802   3.80                3.40               
Pavarde809   Vardas809   4.28                4.20               
Pavarde810   Vardas810   3.72                3.80               
Pavarde813   Vardas813   3.80                3.80               
Pavarde814   Vardas814   2.44                2.60               
Pavarde815   Vardas815   2.04                1.80               
Pavarde818   Vardas818   4.28                3.80               
Pavarde82    Vardas82    3.80                3.40               
Pavarde821   Vardas821   2.92                1.80               
Pavarde822   Vardas822   3.16                3.80               
Pavarde829   Vardas829   2.68                3.40               
Pavarde83    Vardas83    3.84                3.60               
Pavarde832   Vardas832   2.04                1.80               
Pavarde834   Vardas834   1.80                1.40               
Pavarde840   Vardas840   4.16                3.60               
Pavarde842   Vardas842   4.72                4.40               
Pavarde843   Vardas843   3.20                3.20               
Pavarde848   Vardas848   3.68                4.00               
Pavarde855   Vardas855   3.68                3.20               
Pavarde856   Vardas856   3.24                3.40               
Pavarde859   Vardas859   3.08                2.60               
Pavarde863   Vardas863   4.28                4.20               
Pavarde864   Vardas864   3.40                3.00               
Pavarde867   Vardas867   3.84                2.80               
Pavarde869   Vardas869   3.96                3.80               
Pavarde871   Vardas871   4.16                4.40               
Pavarde873   Vardas873   2.92                3.00               
Pavarde874   Vardas874   2.96                3.20               
Pavarde877   Vardas877   3.64                3.40               
Pavarde878   Vardas878   2.04                1.80               
Pavarde882   Vardas882   2.72                2.00               
Pavarde883   Vardas883   4.12                5.00               
Pavarde885   Vardas885   2.40                2.40               
Pavarde886   Vardas886   2.60                2.20               
Pavarde889   Vardas889   4.68                5.40               
Pavarde891   Vardas891   3.64                3.00               
Pavarde892   Vardas892   2.12                2.20               
Pavarde893   Vardas893   3.56                4.20               
Pavarde896   Vardas896   4.04                4.20               
Pavarde90    Vardas90    3.36                4.00               
Pavarde901   Vardas901   2.96                2.00               
Pavarde903   Vardas903   4.20                4.20               
Pavarde907   Vardas907   3.88                3.80               
Pavarde908   Vardas908   3.16                3.00               
Pavarde910   Vardas910   4.76                5.00               
Pavarde915   Vardas915   4.60                5.00               
Pavarde917   Vardas917   4.64                4.40               
Pavarde92    Vardas92    2.68                2.20               
Pavarde921   Vardas921   2.68                2.60               
Pavarde922   Vardas922   3.56                3.80               
Pavarde924   Vardas924   4.60                5.40               
Pavarde925   Vardas925   3.80                3.80               
Pavarde926   Vardas926   2.52                2.20               
Pavarde927   Vardas927   3.40                3.40               
Pavarde928   Vardas928   3.68                3.60               
Pavarde929   Vardas929   3.32                3.00               
Pavarde93    Vardas93    3.56                3.00               
Pavarde932   Vardas932   4.32                4.40               
Pavarde933   Vardas933   4.56                4.40               
Pavarde934   Vardas934   4.52                4.60               
Pavarde935   Vardas935   2.52                1.80               
Pavarde936   Vardas936   3.92                3.60               
Pavarde937   Vardas937   4.44                5.00               
Pavarde938   Vardas938   4.84                5.00               
Pavarde94    Vardas94    3.40                3.40               
Pavarde940   Vardas940   4.56                4.00               
Pavarde941   Vardas941   2.52                2.60               
Pavarde943   Vardas943   2.60                2.20               
Pavarde945   Vardas945   2.92                2.60               
Pavarde947   Vardas947   4.88                4.80               
Pavarde948   Vardas948   3.68                4.00               
Pavarde949   Vardas949   4.64                4.00               
Pavarde950   Vardas950   3.88                3.80               
Pavarde952   Vardas952   3.72                4.20               
Pavarde955   Vardas955   4.96                4.80               
Pavarde956   Vardas956   2.84                2.60               
Pavarde957   Vardas957   2.04                1.80               
Pavarde958   Vardas958   3.56                3.40               
Pavarde972   Vardas972   3.92                3.60               
Pavarde973   Vardas973   4.36                5.00               
Pavarde975   Vardas975   3.52                3.20               
Pavarde977   Vardas977   3.68                3.60               
Pavarde978   Vardas978   2.60                2.60               
Pavarde982   Vardas982   3.40                4.20               
Pavarde987   Vardas987   4.08                4.00               
Pavarde988   Vardas988   3.92                4.00               
Pavarde989   Vardas989   4.12                4.20               
Pavarde990   Vardas990   2.52                3.00               
Pavarde991   Vardas991   3.68                3.60               
Pavarde995   Vardas995   2.64                2.80               
Pavarde996   Vardas996   4.08                4.00               
Pavarde999   Vardas999   4.80                4.40               
